Gene_ID,k562_0h_A,k562_0h_B,k562_0h_C,k562_2h_A,k562_2h_B,k562_2h_C,k562_4h_A,k562_4h_B,k562_4h_C,k562_6h_A,k562_6h_B,k562_6h_C
ENSG00000000003,0,0,0,0.0408133579835,0,0.0262446085701,0.126417893613,0.106867283631,0.124428443131,0.133056639833,0,0
ENSG00000000005,0,0,0.0279012898125,0,0.0322007814035,0,0,0,0,0,0,0
ENSG00000000419,18.6774719112,20.5643955682,43.6376172667,43.6090730054,48.9129869519,47.4240076861,54.5619628836,55.4908370254,57.6518453174,96.8319696386,72.1092730838,72.3828748001
ENSG00000000457,4.94328724525,6.59745113792,9.31903079736,9.08097215133,8.24340003929,9.44805908522,7.98961087637,7.48070985418,11.7170117282,16.1830138197,16.3063738992,14.4535962696
ENSG00000000460,17.7856417381,18.5056164897,42.0751450372,34.1811873112,36.8376939256,40.1542511122,31.8067420331,34.9990353892,39.4852926202,51.3764950556,49.2939808676,34.2842060958
ENSG00000000938,0,0,0,0,0,0.15746765142,0,0,0,0,0,0
ENSG00000000971,10.9822515603,11.6274227502,11.9975546194,14.6928088741,11.4312773982,13.9096425421,10.0375807529,9.2974536759,11.7792259497,8.6154174292,10.80275972,7.5829678362
ENSG00000001036,17.19958191,15.7917713408,23.5207873119,23.7737810254,18.0646383674,20.5232839018,18.1283259442,14.8278356038,21.8371917695,22.6695250116,24.348807003,17.5786981657
ENSG00000001084,24.5125893295,25.0796724108,23.4649847323,23.9166277783,19.8356813445,26.8744791757,29.0255483736,27.3847414305,36.8308191668,57.7299496076,46.9255524747,63.4671429199
ENSG00000001167,13.2500482862,12.3292792542,22.2094266907,22.161653385,22.0897360428,20.4707946846,25.5616980886,27.6786264605,26.5239964608,31.0520933211,25.6778531515,31.5727206271
ENSG00000001460,1.22308138027,0.467904336023,1.06024901287,1.4896875664,2.02864922842,1.3122304285,1.16304462124,1.52285879174,0.705094511076,1.36383055829,0.647484021074,2.29786904127
ENSG00000001461,11.1096558708,11.8145844846,15.2620055274,13.5704415295,14.3293477245,14.224577845,16.1814903825,15.2553047383,11.1363456602,12.0083617449,10.530134869,11.2825369926
ENSG00000001497,42.8078483094,40.0292159467,38.2526683329,43.9763932272,31.6211673382,36.7949412152,35.9532489437,31.6594327757,33.5749415715,23.95019517,32.2378886282,39.0178163208
ENSG00000001561,0,0,0,0,0,0,0,0,0,0.0332641599583,0,0
ENSG00000001617,0.2293277588,0,0,0.122440073951,0,0,0.151701472336,0.320601850893,0,0.0997924798749,0.0511171595585,0.137872142476
ENSG00000001626,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001629,11.3644644917,12.001746219,14.285460384,12.427667506,14.0073399105,14.4345347135,14.6644756592,14.774401962,17.9384338847,20.8067320539,21.7077537592,16.6135931684
ENSG00000001630,49.8405662459,49.0129791984,70.1438425885,70.7091427064,61.6000948249,66.0839243794,57.4190072792,58.0823686535,69.6384520056,85.322570293,73.2338505941,65.9488414845
ENSG00000001631,41.6357286533,49.1065600656,69.3905077636,58.1794418055,78.1190956848,63.3282404796,59.0877234749,74.5666471536,50.3520433203,56.5490719291,47.6071146021,45.7965299926
ENSG00000002016,4.71395948645,3.39230643616,3.87827928393,3.59157550255,2.96247188912,3.22808685412,2.65477576588,3.07243440439,3.38030603839,3.09356687612,3.15222483944,3.56169701397
ENSG00000002330,18.5500676007,15.7917713408,7.3938418003,6.6729840303,6.66556175052,6.50866292538,6.44731257428,4.30140816615,2.84111611816,2.11227415735,2.50474081837,4.64169546337
ENSG00000002549,35.2909939931,44.825235391,52.510227427,46.8537349651,41.7966142617,43.1461364892,40.302024484,38.9531248835,53.0894690692,69.4555659929,55.0872589509,50.7829058121
